Абаза; 39047
Абакан; 3902
Абан; 39163
Абатский; 34556
Абдулино; 35355
Абинск; 86150
Абрамовка; 4964
Авсюнино; 4964
Агаповка; 35140
Агидель; 34731
Агинское; 30239
Агинское; 39142
Агрыз; 85551
Адамовка; 35365
Адлер; 8622
Адыгейск; 87772
Азнакаево; 85592
Азов; 86342
Азово; 38141
Айкино; 82134
Акбулак; 35335
Аксай; 86350
Аксарка; 34993
Аксубаево; 84344
Актаныш; 85552
Акуша; 87260
Акша; 30231
Акъяр; 34758
Алагир; 86731
Алапаевск; 34346
Алатырь; 83531
Алдан; 41145
Алейск; 38553
Александро-Невский; 49158
Александров; 49244
Александров Гай; 84578
Александров-Сахалинский; 424340
Александров-Сахалинский; 42434
Александровка; 35359
Александровск; 34274
Александровское; 86557
Александровское; 38255
Алексеевка; 47234
Алексеевка; 84671
Алексеевская; 84446
Алексеевское; 84341
Алексин; 48753
Аликово; 83535
Алнаши; 34150
Алтайский; 38537
Алферово; 49643
Альменево; 35242
Альметьевск; 8553
Амга; 41142
Амурзет; 42665
Амурск; 42142
Анадырь; 42722
Анапа; 86133
Ангарск; 3955
Андреаполь; 48267
Анжеро-Судженск; 38453
Анива; 42441
Анино; 81376
Анна; 47346
Антропово; 49430
Анучино; 42362
Апастово; 84376
Апатиты; 81555
Апрелевка; 49634
Апшеронск; 86152
Арбаж; 83330
Аргаяш; 35131
Ардатов; 83431
Ардатов; 83179
Ардон; 86732
Арзамас; 83147
Арзгир; 86560
Аркадак; 84542
Армавир; 86137
Армизонское; 34547
Аромашево; 34545
Арсеньев; 42361
Арсеньево; 48733
Арск; 84366
Артемовский; 34363
Арти; 34391
Архангельск; 8182
Архангельск; 818
Архангельское; 34774
Архангельское; 48744
Архара; 41648
Архонская; 86739
Асбест; 34365
Асекеево; 35351
Асино; 38241
Аскарово; 34772
Аскиз; 39045
Аскино; 34771
Астрахань; 8512
Аткарск; 84552
Атюрьево; 83454
Атяшево; 83434
Ахтубинск; 85141
Ачинск; 39151
Ачит; 34391
Ачхой-Мартан; 87142
Аша; 35159
Аше; 8622
Ашукино; 49653
Б.Дворы; 49643
Бабаево; 81743
Бабаюрт; 87247
Бабынино; 48448
Бавлы; 85569
Багаевский; 86357
Баган; 38353
Багратионовск; 40156
Баево; 38585
Базарные Матаки; 84346
Базарный Карабулак; 84591
Базарный Сызган; 84240
Бай-Хаак; 39437
Байкалово; 34362
Байкальск; 39542
Байкитский; 39178
Баймак; 34751
Бакалы; 34742
Баксан; 86634
Балабаново; 48438
Балаково; 8453
Балахна; 83144
Балахта; 39148
Балашов; 84545
Балезино; 34166
Балей; 30232
Балтай; 84592
Балтаси; 84368
Балтийск; 40145
Барабинск; 38361
Барановское; 49644
Баргузин; 30131
Барда; 34292
Барнаул; 3852
Барыбино; 49679
Барыш; 84253
Барятино; 48454
Батагай-Алыта; 41160
Батайск; 86354
Батецкий; 81661
Батырево; 83532
Башмаково; 84143
Беднодемьяновск; 84151
Бежаницы; 81141
Бежецк; 48231
Безенчук; 84676
Беззубово; 4964
Бекасово-2; 49634
Беково; 84141
Белавино; 4964
Белая; 47149
Белая Глина; 86154
Белая Калитва; 86383
Белая Холуница; 83364
Белгород; 4722
Белебей; 34786
Белев; 48742
Белинский; 84153
Белово; 38452
Белогорск; 41641
Белозерск; 81756
Белозерск; 49644
Белозерское; 35232
Белокуриха; 38577
Беломорск; 81437
Белоомут; 49663
Белорецк; 34792
Белореченск; 86155
Белоярский; 34377
Белые Столбы; 49679
Белый; 48250
Белый Яр; 38258
Белый Яр; 39041
Беляевка; 35334
Бердигестях; 41131
Бердск; 38341
Бердюжье; 34554
Бережки; 49640
Березник; 81831
Березники; 3424
Березняки; 49654
Березовка; 39175
Березовка; 34251
Березово; 34674
Березовский; 38445
Березовский; 34369
Беринговский; 42733
Беслан; 86737
Бесово; 49669
Бессоновка; 84140
Бетлица; 48457
Бея; 39044
Бижбуляк; 34743
Бийск; 3854
Бикин; 42155
Билибино; 42738
Биробиджан; 42622
Бирск; 34784
Бичура; 30133
Благовещенка; 38564
Благовещенск; 4162
Благовещенск; 34766
Благодар-ный; 86549
Бобров; 47350
Богатое; 84666
Богатые Сабы; 84362
Богданович; 34376
Боговарово; 49451
Богородицк; 48761
Богородск; 83170
Богородское; 84495
Богородское; 83333
Богородское; 42151
Боготол; 39157
Боград; 39034
Богучанский; 39162
Богучаны; 39162
Богучар; 47366
Боковская; 86382
Бокситогорск; 81366
Болгар; 84347
Бологое; 48238
Болотное; 38349
Болхов; 48640
Большая Атня; 84369
Большая Глушица; 84673
Большая Ижора; 81376
Большая Мартыновка; 86395
Большая Мурта; 39198
Большая Сосновая; 34257
Большая Черениговка; 84672
Большевик; 4967
Большеречье; 38169
Большеустьикинское; 34770
Большие Березники; 83436
Большие Кайбицы; 84370
Большие Уки; 38162
Большое Болдино; 83138
Большое Игнатово; 83442
Большое Мурашкино; 83167
Большое Нагаткино; 84245
Большое Село; 48542
Большое Солдатское; 47136
Большое Сорокино; 34550
Большой Камень; 42335
Большой Улуй; 39159
Большой Царын; 84747
Бондари; 47534
Бор; 83159
Борзя; 30233
Борисовка; 47246
Борисоглебск; 47354
Борисоглебский; 48539
Боровичи; 81664
Боровково; 49651
Боровск; 48438
Борогонцы; 41161
Бородино; 39168
Борское; 84667
Братск; 3953
Бреды; 35141
Брейтово; 48545
Бронницы; 49646
Брюховецкая; 86156
Брянск; 4832
Бугульма; 85594
Бугуруслан; 35352
Буденновск; 86559
Буздяк; 34773
Бузулук; 35342
Буинск; 84374
Буй; 49435
Буйнакск;(872 37)
Буньково; 49651
Бураево; 34756
Бурла; 38572
Бутурлино; 83172
Бутурлиновка; 47361
Быково; 84495
Быково; 49646
Быково; 4967
Быстрый Исток; 38571
Вавож; 34155
Вад; 83140
Вадинск; 84142
Валдай; 81666
Валуйки; 47236
Ванино; 42137
Варгаши; 35233
Вардане; 8622
Варна; 35142
Варнавино; 83158
Васильевское; 4967
Вача; 83173
Введенское; 49632
Вейделевка; 47237
Велиж; 48132
Великие Луки; 81153
Великий Новгород; 81622
Великий Новгород; 8162
Великий Устюг; 81738
Вельск; 81836
Вельяминово; 49679
Венгерово; 38369
Венев; 48745
Верещагино; 34254
Верея; 49634
Верх-Усугли; 30264
Верхневилюйск; 41133
Верхнеуральск; 35143
Верхнеяркеево; 34762
Верхние Киги; 34748
Верхние Татышлы; 34778
Верхний Ландех; 49349
Верхний Мамон; 47355
Верхний Услон; 84379
Верхний Уфалей; 35164
Верхняя Пышма; 34368
Верхняя Салда; 34345
Верхняя Тойма; 81854
Верхняя Хава; 47343
Верхняя-Чебула; 38444
Верховажье; 81759
Верховье; 48676
Верхотурье; 34389
Верхошижемье; 83335
Веселый; 86358
Весьегонск; 48264
Ветлуга; 83150
Вешенская; 86353
